0,1,2,3,4
Transformer,Ridge,128,150,5509661.9799999995
Simple RNN,ExtraTreesRegressor,256,200,5546471.88
Transformer,ExtraTreesRegressor,64,200,5554835.28
Transformer,LightGBM,128,300,5631034.960000001
Transformer,VotingRegressor,64,200,5709680.0
Transformer,LightGBM,64,150,5764171.550000001
Transformer,SupportVectorRegressor,256,300,5788237.07
Transformer,ExtraTreesRegressor,256,200,5826201.09
Transformer,RandomForestRegressor,128,300,5859798.879999999
Transformer,LightGBM,256,100,5975484.74
Transformer,Ridge,256,150,6005915.790000001
Transformer,ElasticNet,256,300,6049396.4
Bidirectional LSTM,ExtraTreesRegressor,256,150,6157437.62
GRU,Huber,256,200,6162357.33
GRU,KnnRegression,256,150,6175667.72
Transformer,VotingRegressor,128,200,6189932.290000001
Bidirectional LSTM,GradientBoostingRegressor,256,200,6213865.600000001
Simple RNN,ExtraTreesRegressor,256,250,6219001.15
Bidirectional LSTM,ExtraTreesRegressor,256,100,6232626.199999999
LSTM,Lasso,256,150,6236900.91
GRU,XGBoost,128,150,6258159.3100000005
Transformer,KnnRegression,64,300,6326933.24
GRU,GradientBoostingRegressor,256,200,6376675.4399999995
Transformer,ExtraTreesRegressor,128,200,6397628.27
Transformer,RandomForestRegressor,64,300,6402362.09
GRU,Ridge,128,100,6415975.0
Transformer,ElasticNet,64,100,6425797.010000001
Transformer,Linear,128,250,6432065.44
Transformer,KnnRegression,128,100,6480500.77
Transformer,Lasso,256,200,6542797.359999999
Transformer,LightGBM,256,300,6595103.600000001
GRU,Ridge,128,150,6673914.340000001
GRU,Ridge,128,200,6797867.43
Transformer,Huber,128,200,6830646.43
Simple RNN,ExtraTreesRegressor,256,100,6831168.59
Transformer,VotingRegressor,256,200,6852071.24
GRU,KnnRegression,256,200,6926854.82
GRU,KnnRegression,256,300,6947914.0
GRU,LightGBM,128,100,6975237.5600000005
GRU,XGBoost,256,300,7071286.65
Transformer,VotingRegressor,64,100,7127992.9
Transformer,Linear,128,300,7273829.1
Transformer,SupportVectorRegressor,128,300,7279321.369999999
GRU,LightGBM,128,250,7349331.03
Bidirectional LSTM,Linear,256,250,7406391.640000001
GRU,Lasso,128,150,7504421.879999999
GRU,RandomForestRegressor,256,150,7663760.399999999
Transformer,KnnRegression,256,300,7788602.63
Transformer,RandomForestRegressor,64,150,7927633.069999999
Transformer,GradientBoostingRegressor,64,250,8287931.85
Bidirectional LSTM,Lasso,256,100,8422149.25
LSTM,Lasso,128,150,8447658.52
Bidirectional LSTM,RandomForestRegressor,128,100,8517750.11
Transformer,KnnRegression,256,200,9029322.28
Transformer,SupportVectorRegressor,64,150,9342327.08
LSTM,Linear,128,200,9519850.469999999
GRU,CatBoost,128,250,9731007.12
Transformer,SupportVectorRegressor,256,100,9982086.709999999
GRU,CatBoost,128,200,10117856.78
GRU,GradientBoostingRegressor,128,300,10197668.21
Transformer,ElasticNet,128,150,10268217.629999999
Bidirectional LSTM,Linear,256,100,10409784.600000001
LSTM,Lasso,128,300,10452143.120000001
GRU,ExtraTreesRegressor,128,300,10506243.100000001
Transformer,RandomForestRegressor,64,200,10858988.39
GRU,Linear,128,250,11241559.51
GRU,KnnRegression,128,200,11258202.209999999
Transformer,ExtraTreesRegressor,128,300,11284244.06
GRU,SupportVectorRegressor,256,100,11613249.41
Bidirectional LSTM,RandomForestRegressor,256,50,11982850.52
Transformer,Lasso,128,100,12002863.920000002
