0,1,2,3,4
LSTM,XGBoost,256,250,0
LSTM,XGBoost,256,300,0
LSTM,XGBoost,128,50,0
LSTM,XGBoost,128,100,0
LSTM,XGBoost,128,150,0
LSTM,XGBoost,128,200,0
LSTM,XGBoost,128,250,0
LSTM,XGBoost,128,300,0
LSTM,XGBoost,64,50,0
LSTM,XGBoost,64,100,0
LSTM,XGBoost,64,150,0
LSTM,XGBoost,64,200,0
LSTM,XGBoost,64,250,0
LSTM,XGBoost,64,300,0
LSTM,CatBoost,256,50,0
LSTM,CatBoost,256,100,0
LSTM,CatBoost,256,150,0
LSTM,CatBoost,256,200,0
LSTM,CatBoost,256,250,0
LSTM,CatBoost,256,300,0
LSTM,CatBoost,128,50,0
LSTM,CatBoost,128,100,0
LSTM,CatBoost,128,150,0
LSTM,CatBoost,128,200,0
LSTM,CatBoost,128,250,0
LSTM,CatBoost,128,300,0
LSTM,CatBoost,64,50,0
LSTM,CatBoost,64,100,0
LSTM,CatBoost,64,150,0
LSTM,CatBoost,64,200,0
LSTM,CatBoost,64,250,0
LSTM,CatBoost,64,300,0
LSTM,LightGBM,256,50,0
LSTM,LightGBM,256,100,0
LSTM,LightGBM,256,150,0
LSTM,LightGBM,256,200,0
LSTM,LightGBM,256,250,0
LSTM,LightGBM,256,300,0
LSTM,LightGBM,128,50,0
LSTM,LightGBM,128,100,0
LSTM,LightGBM,128,150,0
LSTM,LightGBM,128,200,0
LSTM,LightGBM,128,250,0
LSTM,LightGBM,128,300,0
LSTM,LightGBM,64,50,0
LSTM,LightGBM,64,100,0
LSTM,LightGBM,64,150,0
LSTM,LightGBM,64,200,0
LSTM,LightGBM,64,250,0
LSTM,LightGBM,64,300,0
LSTM,ElasticNet,256,50,0
LSTM,ElasticNet,256,100,0
LSTM,ElasticNet,256,150,0
LSTM,ElasticNet,256,200,0
LSTM,ElasticNet,256,250,0
LSTM,ElasticNet,256,300,0
LSTM,ElasticNet,128,50,0
LSTM,ElasticNet,128,100,0
LSTM,ElasticNet,128,150,0
LSTM,ElasticNet,128,200,0
LSTM,ElasticNet,128,250,0
LSTM,ElasticNet,128,300,0
LSTM,ElasticNet,64,50,0
LSTM,ElasticNet,64,100,0
LSTM,ElasticNet,64,150,0
LSTM,ElasticNet,64,200,0
LSTM,ElasticNet,64,250,0
LSTM,ElasticNet,64,300,0
LSTM,Huber,256,50,0
LSTM,Huber,256,100,0
LSTM,Huber,256,150,0
LSTM,Huber,256,200,0
LSTM,Huber,256,250,0
LSTM,Huber,256,300,0
LSTM,Huber,128,50,0
LSTM,Huber,128,100,0
LSTM,Huber,128,150,0
LSTM,Huber,128,200,0
LSTM,Huber,128,250,0
LSTM,Huber,128,300,0
LSTM,Huber,64,50,0
LSTM,Huber,64,100,0
LSTM,Huber,64,150,0
LSTM,Huber,64,200,0
LSTM,Huber,64,250,0
LSTM,Huber,64,300,0
LSTM,Lasso,256,50,0
LSTM,Lasso,256,100,0
LSTM,Lasso,256,150,0
LSTM,Lasso,256,200,0
LSTM,Lasso,256,250,0
LSTM,Lasso,256,300,0
LSTM,Lasso,128,50,0
LSTM,Lasso,128,100,0
LSTM,Lasso,128,150,0
LSTM,Lasso,128,200,0
LSTM,Lasso,128,250,0
LSTM,Lasso,128,300,0
LSTM,Lasso,64,50,0
LSTM,Lasso,64,100,0
LSTM,Lasso,64,150,0
LSTM,Lasso,64,200,0
LSTM,Lasso,64,250,0
LSTM,Lasso,64,300,0
LSTM,Ridge,256,50,0
LSTM,Ridge,256,100,0
